албанский;sq;
английский;en;en_US
арабский;ar;ar
армянский;hy;hy_AM
азербайджанский;az;az
африкаанс;af;
баскский;eu;
белорусский;be;be_BY
болгарский;bg;bg_BG
боснийский;bs;
валлийский;cy;
вьетнамский;vi;vi_VN
венгерский;hu;
гаитянский;(креольский);ht;
галисийский;gl;gl_ES
голландский;nl;nl_NL
греческий;el;el_GR
грузинский;ka;
датский;da;da_DK
иврит;he;he_IL
индонезийский;id;
ирландский;ga;
итальянский;it;it_IT
исландский;is;
испанский;es;es_ES
казахский;kk;
каталанский;ca;ca
киргизский;ky;
китайский;zh;
корейский;ko;
латынь;la;
латышский;lv;
литовский;lt;lt_LT
малагасийский;mg;
малайский;ms;
мальтийский;mt;
македонский;mk;
монгольский;mn;
немецкий;de;de_DE_frami
норвежский;no;
персидский;fa;
польский;pl;pl_PL
португальский;pt;pt_BR
румынский;ro;ro_RO
русский;ru;ru_RU
сербский;sr;sr
словацкий;sk;sk_SK
словенский;sl;si_SI
суахили;sw;
таджикский;tg;
тайский;th;
тагальский;tl;
татарский;tt;
турецкий;tr;
узбекский;uz;
украинский;uk;uk_UA
финский;fi;
французский;fr;fr
хорватский;hr;hr_HR
чешский;cs;cs_CZ
шведский;sv;sv_SE
эстонский;et;et_EE
японский;ja;